org_nam,drw_rdr,dsply_n,year,link,partnrs
arrowhead_diss,1,"Arrowhead Landscape, MN",2023,https://thenatureconservancy.github.io/mn_demo/,The Nature Conservancy
blahi,2,Black Hills,2023,https://thenatureconservancy.github.io/blahi/,Conservation Data Lab
copla,3,Colorado Plateau Landscape,2023,https://thenatureconservancy.github.io/copla/,Conservation Data Lab
hiawatha_dissolve,4,Hiawatha National Forest,2024,https://thenatureconservancy.github.io/HiawathaNF_2024/,USDA Forest Service
dftls_NAD1983,5,Driftless Landscape,2023,https://thenatureconservancy.github.io/driftless/,The Nature Conservancy
flathead_nf,6,Flathead National Forest,2023,https://thenatureconservancy.github.io/flathead/,USDA Forest Service
gcnp,7,Grand Canyon National Park,2023,https://thenatureconservancy.github.io/gcnp/,National Park Service
cup_final,8,"Central Upper Peninsula, MI",2024,https://conservation-data-lab.github.io/cup_assessment/,"Conservation Data Lab, Marquette County, MI"
huron_manistee,9,Huron-Manistee National Forest,2023,https://claireburtrum.github.io/huronmanistee/,USDA Forest Service
hoosier,10,Hoosier National Forest,2024,https://thenatureconservancy.github.io/Hoosier_NF/,USDA Forest Service
Northern_LP_Boundary,11,"Northern Lower Peninsula Landscape, MI",2023,https://gjknowlton.github.io/northernMI_LF/,Michigan Department of Natural Resources
ottawa,12,Ottawa National Forest,2023,https://thenatureconservancy.github.io/OttawaNF2023/,USDA Forest Service
mz15,13,LANDFIRE Map Zone 15,2023,https://thenatureconservancy.github.io/mz15/,Ecological Restoration Institute
nnmpla,14,Northern New Mexico Plateau,2023,https://thenatureconservancy.github.io/nnmpla/,Conservation Data Lab
glaba_dissolve,15,Great Lakes Basin,2024,https://thenatureconservancy.github.io/glaba_subs/,USDA Forest Service
ouachita_nf,16,Ouachita National Forest,2024,https://thenatureconservancy.github.io/ouachita_nf/,The Nature Conservancy
rogue_dissolve,17,"Rogue River Basin, OR",2024,https://thenatureconservancy.github.io/rrb/,The Nature Conservancy
soro_diss,18,Southern Rockies Landscape,2023,https://thenatureconservancy.github.io/soro/,Conservation Data Lab
wumo_diss,19,Wasatch and Uinta Mountains Landscape,2023,https://thenatureconservancy.github.io/wumo/,Conservation Data Lab
wyba,20,Wyoming Basins Landscape,2023,https://thenatureconservancy.github.io/wyba/,Conservation Data Lab
St. Croix,21,"St. Croix State Park, MN",2025,https://thenatureconservancy.github.io/st_croix/,The Nature Conservancy
uncompahgre,22,"Grand Mesa, Uncompahgre and Gunnison National Forests",2025,https://landfire-tnc.github.io/Uncompahgre/,The Nature Conservancy
Ely District,23,"BLM, Ely District",2025,https://thenatureconservancy.github.io/ely_blm/,The Nature Conservancy
Mountain Prairie Region,24,US Fish and Wildlife Service Region 6,2025,https://thenatureconservancy.github.io/USFWS_R6/,"The Nature Conservancy, US Fish and Wildlife Service"
